Deposit,Sample,Reference,Fe,Mn,Co,Cu,Ga,Ge,Ag,Cd,In,Sn,Sb,Pb,Deposit type
Baia de Aries,1,"Cook et al., 2009",8175,8073,0.01,4330,8.9,0.87,7.35,4226,135,5.9,1.37,1.83,Epithermal
Baia de Aries,,"Cook et al., 2009",77627,9325,0.015,82,4.9,1.27,1.61,4675,6.1,2.9,0.01,0.14,Epithermal
Baia de Aries,,"Cook et al., 2009",114676,5883,0.015,504,9.5,1.81,2.09,6245,19.6,14.8,0.02,0.4,Epithermal
Baia de Aries,,"Cook et al., 2009",5445,13481,0.015,3172,3.6,0.93,5.42,4185,186,1.71,0.005,0.61,Epithermal
Baia de Aries,,"Cook et al., 2009",9838,2386,0.015,614,0.46,0.97,2.31,3819,210,0.94,0.05,0.72,Epithermal
Baia de Aries,,"Cook et al., 2009",11424,9128,0.015,2394,4.7,1.18,4.39,4341,281,2.48,0.37,1.84,Epithermal
Hanes ,1,"Cook et al., 2009",109931,3468,3.1,683,4.67,1.21,13.6,4094,38,1.1,0.005,0.05,Epithermal
Hanes ,,"Cook et al., 2009",92516,4615,0.73,168,1.4,1.14,9.61,4338,71.2,22.7,1.22,1.61,Epithermal
Hanes ,,"Cook et al., 2009",83527,1747,7.82,99,4.83,1.14,3.72,3942,86,25.4,0.005,0.18,Epithermal
Hanes ,,"Cook et al., 2009",108355,3615,0.56,2829,4.25,1.19,38.8,3756,43.4,4,0.65,0.75,Epithermal
Hanes ,,"Cook et al., 2009",79417,5941,1.65,335,3.04,1.41,12.3,3910,65.7,29.2,4.02,38.8,Epithermal
Hanes ,,"Cook et al., 2009",50902,2192,7.43,20,1.86,0.97,6.22,3189,17,6.2,1.84,2.72,Epithermal
Hanes ,,"Cook et al., 2009",83504,13898,3.51,28,4.29,1.33,3.59,3965,22.9,3.4,0.16,3.8,Epithermal
Hanes ,,"Cook et al., 2009",108572,782,39,1594,10.4,1.3,6.75,5223,23.4,319,0.07,11.7,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",934,76001,0.015,591,451,29,17.7,3428,71.7,88.7,5.05,40.9,Epithermal
Rosia Montana,,"Cook et al., 2009",877,32476,0.015,1366,1137,240,8.9,2336,4.9,7.7,2.99,2.1,Epithermal
Rosia Montana,,"Cook et al., 2009",1086,41025,0.02,1295,1026,234,13.9,2307,6.5,10.1,4.43,3.45,Epithermal
Rosia Montana,,"Cook et al., 2009",887,35870,0.01,100,52,4,2.6,2035,4.3,5.5,5.08,5.74,Epithermal
Rosia Montana,,"Cook et al., 2009",804,54390,0.015,586,497,102,5.8,2842,30.3,47.6,5.07,2.33,Epithermal
Rosia Montana,,"Cook et al., 2009",986,61142,0.155,355,176,6.8,2.5,2795,67.3,96.4,0.15,1.45,Epithermal
Rosia Montana,,"Cook et al., 2009",855,55585,0.015,843,587,204,7.3,2839,38.1,59.8,1.21,1.31,Epithermal
Rosia Montana,,"Cook et al., 2009",816,31064,0.015,1248,1088,206,7.9,2273,6.1,8.6,4.05,1.83,Epithermal
Rosia Montana,,"Cook et al., 2009",839,55346,0.015,424,295,27.8,3.1,2533,52.4,109,0.2,1.41,Epithermal
Rosia Montana,,"Cook et al., 2009",119315,2266,1.2,736,5.3,1.47,14.6,3685,101,13.5,0.01,0.11,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",2254,58458,0.44,164,63.6,1.64,2.2,3993,0.09,1.71,0.07,5.53,Epithermal
Rosia Montana,,"Cook et al., 2009",2629,62659,0.55,1604,87.1,1.43,8.01,3412,0.11,0.89,0.15,3181,Epithermal
Rosia Montana,,"Cook et al., 2009",2491,64301,0.52,1818,176,2.67,9.05,3518,0.1,0.97,0.01,0.64,Epithermal
Rosia Montana,,"Cook et al., 2009",1937,59794,0.73,106,119,1.7,2.19,3375,0.13,0.78,0.005,0.19,Epithermal
Rosia Montana,,"Cook et al., 2009",2605,70502,0.44,334,90.9,2.27,8.92,3859,0.08,1.9,0.76,219,Epithermal
Rosia Montana,,"Cook et al., 2009",1919,73617,0.51,124,178,3.45,2.64,3658,0.07,1.59,0.01,0.41,Epithermal
Rosia Montana,,"Cook et al., 2009",12850,51339,1.61,11356,160,11.9,13.49,2967,0.81,4.83,0.41,3.59,Epithermal
Rosia Montana,,"Cook et al., 2009",4524,99443,0.61,2866,69.8,10.1,12.39,3722,0.2,4.11,0.83,14,Epithermal
Rosia Montana,,"Cook et al., 2009",2169,70150,0.6,51,56.2,1.07,2.13,3552,0.19,0.22,0.03,0.66,Epithermal
Rosia Montana,,"Cook et al., 2009",1038,65467,0.01,637,379,46,4.72,2967,91.6,141,0.41,2.84,Epithermal
Magura,Mag-8,"Cook et al., 2009",2400,43904,0.035,372,80,30.8,23.4,3704,2.25,14.8,176,111,Epithermal
Magura,,"Cook et al., 2009",130,9785,0.015,529,14,32.1,25.3,4328,0.05,2.7,302,22.6,Epithermal
Magura,,"Cook et al., 2009",601,47216,0.015,178,61,10.2,8.4,4189,2.97,11.2,48.4,3.8,Epithermal
Magura,,"Cook et al., 2009",228,6324,0.05,2098,401,246,51.9,8727,0.7,2.04,1049,78.2,Epithermal
Magura,,"Cook et al., 2009",185,15435,0.01,1173,35,140,59.9,3674,0.45,5.6,678,106,Epithermal
Magura,,"Cook et al., 2009",62,2859,0.015,1640,12,90.5,135,4537,0.09,5.15,1166,193,Epithermal
Sacaramb,Sac 7.3,"Cook et al., 2009",5253,1874,1.17,537,22,1.8,11,4583,0.34,2.01,27.7,5.7,Epithermal
Sacaramb,,"Cook et al., 2009",3069,2864,0.015,65,33,4.3,16,4199,2.04,7.16,17,4.9,Epithermal
Sacaramb,,"Cook et al., 2009",2624,2512,0.01,73,57,2.8,7,3559,4.31,8.77,7.9,1.4,Epithermal
Sacaramb,,"Cook et al., 2009",6559,1767,0.02,1451,5.2,0.8,15,4214,1.53,1.85,13.1,64.3,Epithermal
Sacaramb,,"Cook et al., 2009",5008,2156,0.02,875,156,12.5,28,3550,0.14,0.9,54.1,12.4,Epithermal
Sacaramb,,"Cook et al., 2009",4021,4113,0.015,392,191,13,13,3244,0.51,6.48,19.9,79.1,Epithermal
Sacaramb,Sac 7.7,"Cook et al., 2009",375,29464,0.01,1275,839,165.3,16,3873,82.2,205.6,87,17,Epithermal
Sacaramb,,"Cook et al., 2009",712,18451,0.05,1875,1126,345.5,42,4591,46.5,78.1,245,130,Epithermal
Sacaramb,,"Cook et al., 2009",992,52755,0.08,919,376,63,49,4376,73,186,298,988,Epithermal
Sacaramb,,"Cook et al., 2009",452,77686,0.015,88,85,1.4,1.5,1015,38.8,15,0.54,8,Epithermal
Toroiaga,Tga-1,"Cook et al., 2009",95614,1212,0.07,2446,4.9,1.1,12.7,10390,54.7,0.23,0.04,0.71,Epithermal
Toroiaga,,"Cook et al., 2009",94575,711,4.5,1054,7.1,1.1,6.5,10106,159,0.43,0.07,0.18,Epithermal
Toroiaga,,"Cook et al., 2009",97741,804,0.11,3631,6,1.2,14,11044,226,0.51,0.27,0.56,Epithermal
Toroiaga,,"Cook et al., 2009",97004,1221,0.03,174,7.7,1.1,3.5,10266,54.1,0.09,0.04,0.18,Epithermal
Toroiaga,,"Cook et al., 2009",94495,1182,0.38,4312,6.2,1.1,9.5,9879,129,0.26,0.77,1.4,Epithermal
Toroiaga,,"Cook et al., 2009",93457,978,0.05,1535,6.6,1,7.1,10324,118,0.11,0.24,0.76,Epithermal
Toyoha ,In-1,"Cook et al., 2009",36510,296,35.5,1941,85,2.4,485,2306,38,1406,92.9,103,Epithermal
Toyoha ,,"Cook et al., 2009",57889,183,0.3,2366,500,3.8,844,9631,408,2505,131,158,Epithermal
Toyoha ,,"Cook et al., 2009",57067,180,1.04,2798,601,3.7,763,13081,1082,2319,104,237,Epithermal
Toyoha ,,"Cook et al., 2009",54722,114,0.61,12436,61,1.1,5061,8063,15917,1876,143,5240,Epithermal
Toyoha ,,"Cook et al., 2009",37683,53,0.08,7616,153,0.9,758,6970,9656,1747,5.3,13.9,Epithermal
Toyoha ,In-2,"Cook et al., 2009",22893,85,11.2,1259,110,10.4,635,1514,236,1095,468,6333,Epithermal
Toyoha ,,"Cook et al., 2009",98644,546,123.5,1176,75.7,3.9,518,1902,495,786,2177,2295,Epithermal
Toyoha ,,"Cook et al., 2009",40795,117,11.3,703,68.2,1.5,344,1401,297,794,377,1802,Epithermal
Toyoha ,,"Cook et al., 2009",17363,80,5.7,7323,855,8.4,4107,13212,7254,915,5018,4495,Epithermal
Majdanpek,MD-20,"Cook et al., 2009",92590,4345,33.74,541,0.59,1,1.95,2823,50.2,0.13,0.1,0.63,Skarn
Majdanpek,,"Cook et al., 2009",92222,2545,33.98,165,0.46,1,1.53,3256,98.9,0.14,0.02,0.12,Skarn
Majdanpek,,"Cook et al., 2009",87931,3745,34.82,129,0.7,1.1,1.79,2800,63.6,0.47,0.02,0.23,Skarn
Majdanpek,,"Cook et al., 2009",91453,4202,33.81,143,0.8,1.1,1.7,2944,57,0.17,0.005,0.21,Skarn
Majdanpek,,"Cook et al., 2009",85805,3570,31.96,328,1.2,1.2,2.06,2850,46.9,0.53,0.15,1.2,Skarn
Majdanpek,,"Cook et al., 2009",89874,4066,34.92,463,0.85,1.1,1.99,2867,44.4,0.15,0.05,0.8,Skarn
Majdanpek,,"Cook et al., 2009",91608,4405,35.06,171,1.3,1.2,1.62,2869,38.6,1.52,0.32,0.84,Skarn
